"","country","cowc","year","ID","epr.group","dad.group","amar.group","mar.group","epr.status.cat","polity2","mobilized","mobilizing","mobil5yr","mobil.year","ETHNOREC","ETHNOAIMS","ETHNOWAR","SECESSION","rebellion","ELF","elec.date","pres.elec.year","parl.elec.year","majoritarian.sys","proportional.sys","mixed.sys","pres.dem","parl.dem"
"1","Afghanistan","AFG",1978,"hazar_afg","Hazaras",NA,NA,NA,"DISCRIMINATED",0,0,0,0,1946,1,0,0,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"2","Afghanistan","AFG",1992,"hazar_afg","Hazaras",NA,NA,NA,"REGIONAL AUTONOMY",0,0,0,0,1946,1,1,1,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"3","Afghanistan","AFG",1992,"hazar_afg","Hazaras",NA,NA,NA,"REGIONAL AUTONOMY",0,0,0,0,1946,1,0,0,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"4","Afghanistan","AFG",1993,"hazar_afg","Hazaras",NA,NA,NA,"REGIONAL AUTONOMY",0,0,0,0,1946,1,1,1,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"5","Afghanistan","AFG",1994,"hazar_afg","Hazaras",NA,NA,NA,"REGIONAL AUTONOMY",0,0,0,0,1946,1,1,1,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"6","Afghanistan","AFG",1995,"hazar_afg","Hazaras",NA,NA,NA,"REGIONAL AUTONOMY",0,0,0,0,1946,1,1,1,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"7","Afghanistan","AFG",1978,"pamir_afg","Pamir Tajiks",NA,NA,NA,"DISCRIMINATED",0,0,0,0,1946,1,0,0,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"8","Afghanistan","AFG",1978,"pasht_afg","Pashtuns",NA,NA,NA,"DOMINANT",0,0,0,0,1946,1,0,0,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"9","Afghanistan","AFG",1992,"pasht_afg","Pashtuns",NA,NA,NA,"REGIONAL AUTONOMY",0,0,0,0,1946,1,1,1,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"10","Afghanistan","AFG",1992,"pasht_afg","Pashtuns",NA,NA,NA,"REGIONAL AUTONOMY",0,0,0,0,1946,1,0,0,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"11","Afghanistan","AFG",1993,"pasht_afg","Pashtuns",NA,NA,NA,"REGIONAL AUTONOMY",0,0,0,0,1946,1,1,1,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"12","Afghanistan","AFG",1994,"pasht_afg","Pashtuns",NA,NA,NA,"REGIONAL AUTONOMY",0,0,0,0,1946,1,1,1,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"13","Afghanistan","AFG",1995,"pasht_afg","Pashtuns",NA,NA,NA,"REGIONAL AUTONOMY",0,0,0,0,1946,1,1,1,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"14","Afghanistan","AFG",1978,"qizal_afg","Qizalbash",NA,NA,NA,"DISCRIMINATED",0,0,0,0,1946,1,0,0,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"15","Afghanistan","AFG",1992,"tajik_afg","Tajiks",NA,NA,NA,"SENIOR PARTNER",0,0,0,0,1979,1,0,0,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
"16","Afghanistan","AFG",1992,"tajik_afg","Tajiks",NA,NA,NA,"SENIOR PARTNER",0,0,0,0,1979,1,1,1,0,0,0.769344584540685,NA,0,0,0,0,0,0,0
