"","X","title.info","date","briefs","story.link"
"1",1,"Meeting with permanent members of the Security Council","2015-02-16","Vladimir Putin held a meeting with permanent members of the Security Council.","http://eng.kremlin.ru/news/23609"
"2",2,"Telephone conversation with Angela Merkel, Francois Hollande and Petro Poroshenko","2015-02-15","Vladimir Putin had a telephone conversation with Federal Chancellor of Germany Angela Merkel, President of the French Republic Francois Hollande and President of Ukraine Petro Poroshenko.","http://eng.kremlin.ru/news/23607"
"3",3,"Telephone conversation with Angela Merkel and Francois Hollande","2015-02-14","Vladimir Putin had a telephone conversation with Federal Chancellor of Germany Angela Merkel and President of the French Republic Francois Hollande.","http://eng.kremlin.ru/news/23606"
"4",4,"Telephone conversation with President of Kazakhstan Nursultan Nazarbayev","2015-02-14","Vladimir Putin had a telephone conversation with President of Kazakhstan Nursultan Nazarbayev.","http://eng.kremlin.ru/news/23605"
"5",5,"Normandy format talks","2015-02-12","Vladimir Putin, Angela Merkel, Francois Hollande and Petro Poroshenko took part in the talks on a settlement to the situation in Ukraine. At the final stage, they were joined by Heidi Tagliavini, OSCE Special Representative to the Trilateral Contact Group on the Ukrainian Settlement.","http://eng.kremlin.ru/news/23594"
"6",6,"Vladimir Putin will take part in the Normandy format talks in Minsk","2015-02-11","The President is leaving today for Minsk, where he will take part in the Normandy format talks.","http://eng.kremlin.ru/news/23590"
"7",7,"Telephone conversation with President of the United States Barack Obama","2015-02-11","Vladimir Putin had a telephone conversation with President of the United States Barack Obama on the American side’s initiative.","http://eng.kremlin.ru/news/23588"
"8",8,"Russian-Egyptian talks","2015-02-10","Vladimir Putin met with President of the Arab Republic of Egypt Abdel Fattah el-Sisi at the Al-Qubba Palace in Tahrir Square, Cairo.","http://eng.kremlin.ru/news/23584"
"9",9,"Vladimir Putin arrived in Egypt on an official visit","2015-02-09","The President of Russia arrived in Cairo on a two-day official visit following President of Egypt Abdel Fattah el-Sisi’s invitation.","http://eng.kremlin.ru/news/23580"
"10",10,"Telephone conversation with President of Kazakhstan Nursultan Nazarbayev","2015-02-09","Vladimir Putin had a telephone conversation with President of Kazakhstan Nursultan Nazarbayev.","http://eng.kremlin.ru/news/23577"
"11",11,"Interview to Al-Ahram daily","2015-02-09","In the run-up to his visit to the Arab Republic of Egypt, Vladimir Putin gave an interview to the Al-Ahram daily newspaper.","http://eng.kremlin.ru/news/23575"
"12",12,"Meeting with President of Belarus Alexander Lukashenko","2015-02-08","Vladimir Putin met in Sochi with President of Belarus Alexander Lukashenko.","http://eng.kremlin.ru/news/23574"
"13",13,"Telephone conversation with Angela Merkel, Francois Hollande and Petro Poroshenko","2015-02-08",NA,"http://eng.kremlin.ru/news/23573"
"14",14,"Meeting with President of Kyrgyzstan Almazbek Atambayev","2015-02-07","Vladimir Putin met with President of Kyrgyzstan Amlazbek Atambayev in Sochi to discuss bilateral cooperation.","http://eng.kremlin.ru/news/23571"
"15",15,"Meeting with Angela Merkel and Francois Hollande","2015-02-07","Vladimir Putin met with Federal Chancellor of Germany Angela Merkel and President of France Francois Hollande at the Kremlin to discuss solutions to the situation in southeast Ukraine.","http://eng.kremlin.ru/news/23569"
"16",16,"Telephone conversation with Greek Prime Minister Alexis Tsipras","2015-02-05","Vladimir Putin had a telephone conversation with Prime Minister of Greece Alexis Tsipras.","http://eng.kremlin.ru/news/23564"
"17",17,"Law ratifying Russia-India agreement on transfer of convicts","2015-02-04","Vladimir Putin signed Federal Law On Ratification of the Agreement between the Russian Federation and the Republic of India on the Transfer of Convicts.","http://eng.kremlin.ru/news/23558"
"18",18,"Law ratifying EurAsEC termination agreement","2015-02-04","Vladimir Putin signed Federal Law On Ratification of the Agreement on Termination of Activities of the Eurasian Economic Community (EurAsEC).","http://eng.kremlin.ru/news/23559"
"19",19,"Law ratifying Russia-Abkhazia agreement on alliance and strategic partnership","2015-02-04","Vladimir Putin signed Federal Law On Ratification of the Agreement between the Russian Federation and the Republic of Abkhazia on Alliance and Strategic Partnership.","http://eng.kremlin.ru/news/23562"
"20",20,"Vladimir Putin will visit Egypt on February 9-10","2015-02-04","The President will visit the Arab Republic of Egypt on February 9-10 at the invitation of President of Egypt Abdel Fattah el-Sisi.","http://eng.kremlin.ru/news/23555"
"21",21,"Telephone conversation with Angela Merkel and François Hollande","2015-01-31","Vladimir Putin had a telephone conversation with Federal Chancellor of Germany Angela Merkel and President of France Francois Hollande.","http://eng.kremlin.ru/news/23548"
"22",22,"Congratulations to Sergio Mattarella on his election as Italy’s President","2015-01-31","Vladimir Putin congratulated Sergio Mattarella on his election as President of the Italian Republic.","http://eng.kremlin.ru/news/23547"
"23",23,"Meeting with permanent members of the Security Council","2015-01-30","Vladimir Putin held a briefing session with permanent members of the Security Council.","http://eng.kremlin.ru/news/23545"
"24",24,"Meeting with special representative of the President of Iran and international affairs advisor Ali Akbar Velayati","2015-01-28","Vladimir Putin met in the Kremlin with Ali Akbar Velayati, special representative of the President of the Islamic Republic of Iran and advisor on international affairs to the Supreme Leader of the Islamic Republic of Iran.","http://eng.kremlin.ru/news/23538"
"25",25,"Meeting of the Commission for Military Technology Cooperation","2015-01-27","Vladimir Putin held a meeting of the Commission for Military Technology Cooperation with Foreign States.","http://eng.kremlin.ru/news/23534"
"26",26,"Telephone conversations with Angela Merkel and Francois Hollande","2015-01-26","Vladimir Putin had telephone conversations with Federal Chancellor of Germany Angela Merkel on January 25 and President of France Francois Hollande on January 26 to discuss the sharp escalation of the situation in southeast Ukraine.","http://eng.kremlin.ru/news/23528"
"27",27,"Congratulations to President of India Pranab Mukherjee and Prime Minister of India Narendra Modi","2015-01-26","Vladimir Putin congratulated President of India Pranab Mukherjee and Prime Minister of India Narendra Modi on India’s national holiday, Republic Day.","http://eng.kremlin.ru/news/23521"
"28",28,"Congratulations to Alexis Tsipras on Greek parliamentary election victory","2015-01-26","Vladimir Putin congratulated Alexis Tsipras, head of the Coalition of the Radical Left (SYRIZA) party, on his party’s victory in the Greek parliamentary election.","http://eng.kremlin.ru/news/23520"
"29",29,"Instructions following Russian Popular Front’s Action Forum","2015-01-25","Vladimir Putin signed a list of instructions following the Action Forum 2 conference of the Russian Popular Front people’s movement, held on November 18, 2014.","http://eng.kremlin.ru/acts/23543"
"30",30,"Telephone conversation with President of Belarus Alexander Lukashenko","2015-01-23","Vladimir Putin had a telephone conversation with President of Belarus Alexander Lukashenko at the Belarusian side’s initiative.","http://eng.kremlin.ru/news/23514"
"31",31,"Meeting with permanent members of the Security Council","2015-01-23","Vladimir Putin held a meeting with permanent members of the Security Council to discuss the situation in Ukraine.","http://eng.kremlin.ru/news/23512"
"32",32,"Condolences to King of Saudi Arabia Salman bin Abdul Aziz al-Saud","2015-01-23","Vladimir Putin expressed his condolences to King of Saudi Arabia Salman bin Abdul Aziz al-Saud following the passing of the Custodian of the Two Holy Mosques, King of Saudi Arabia Abdullah bin Abdul Aziz al-Saud.","http://eng.kremlin.ru/news/23511"
"33",33,"Telephone conversation with IMF Head Christine Lagarde","2015-01-22","Vladimir Putin had a telephone conversation with Managing Director of the International Monetary Fund Christine Lagarde.","http://eng.kremlin.ru/news/23510"
"34",34,"Vladimir Putin will visit Hungary on February 17","2015-01-21","Vladimir Putin will make a working visit to Hungary on February 17.","http://eng.kremlin.ru/news/23505"
"35",35,"Telephone conversation with President of Armenia Serzh Sargsyan","2015-01-18","Vladimir Putin had a telephone conversation with President of Armenia Serzh Sargsyan.","http://eng.kremlin.ru/news/23497"
"36",36,"Meeting with permanent members of the Security Council","2015-01-16","Vladimir Putin held a meeting with permanent members of the Security Council.","http://eng.kremlin.ru/news/23496"
"37",37,"Meeting with President of Venezuela Nicolas Maduro","2015-01-15","Vladimir Putin and President of the Bolivarian Republic of Venezuela Nicolas Maduro discussed pressing issues of bilateral cooperation and the situation on the world energy market.","http://eng.kremlin.ru/news/23494"
"38",38,"Vladimir Putin will meet with President of Venezuela Nicolas Maduro on January 15","2015-01-14","Vladimir Putin will hold a meeting with President of the Bolivarian Republic of Venezuela Nicolas Maduro on January 15.","http://eng.kremlin.ru/news/23489"
"39",39,"Telephone conversation with King Abdullah II of Jordan","2015-01-14","Vladimir Putin had a telephone conversation with King Abdullah II of Jordan at the Jordanian side's initiative.","http://eng.kremlin.ru/news/23488"
"40",40,"Telephone conversation with Federal Chancellor of Germany Angela Merkel","2015-01-10","Vladimir Putin had a telephone conversation with the Federal Chancellor of Germany Angela Merkel on the German side’s initiative.","http://eng.kremlin.ru/news/23482"
"41",41,"Congratulations to Maithripala Sirisena on his election to the post of President of Sri Lanka","2015-01-09","Vladimir Putin congratulated Maithripala Sirisena on his election to the post of President of Sri Lanka.","http://eng.kremlin.ru/news/23481"
"42",42,"Telephone conversation with President of Kazakhstan Nursultan Nazarbayev","2015-01-09","Vladimir Putin had a telephone conversation with President of the Republic of Kazakhstan Nursultan Nazarbayev.","http://eng.kremlin.ru/news/23480"
"43",43,"Telephone conversation with President of France Francois Hollande","2015-01-08","Vladimir Putin had a telephone conversation with President of France Francois Hollande on the Russian side’s initiative.","http://eng.kremlin.ru/news/23479"
"44",44,"Condolences to President of France Francois Hollande","2015-01-07","Vladimir Putin expressed profound condolences to President of France Francois Hollande in connection with casualties caused by a terrorist attack on the Charlie Hebdo magazine offices.","http://eng.kremlin.ru/news/23478"
"45",45,"Law extending the validity of certain types of entry visas to Russia","2014-12-31","Vladimir Putin signed Federal Law On Amendments to Federal Law On the Procedure for Entry to and Exit from the Russian Federation.","http://eng.kremlin.ru/acts/23470"
"46",46,"Congratulation to foreign heads of state and government","2014-12-31","Vladimir Putin congratulated heads of state and government and heads of international organisations on Christmas and New Year.","http://eng.kremlin.ru/news/23466"
"47",47,"Condolences to Indonesian President Joko Widodo","2014-12-30","Vladimir Putin expressed his deep condolences to the President of the Republic of Indonesia Joko Widodo on the death of passengers and crew of the AirAsia plane.","http://eng.kremlin.ru/news/23463"
"48",48,"Telephone conversation with IMF chief Christine Lagarde","2014-12-29","Vladimir Putin had a telephone conversation with Managing Director of the International Monetary Fund Christine Lagarde.","http://eng.kremlin.ru/news/23457"
"49",49,"Telephone conversation with President of Finland Sauli Niinistö","2014-12-29","At Finland’s initiative, Vladimir Putin had a telephone conversation with President of Finland Sauli Niinistö.","http://eng.kremlin.ru/news/23453"
"50",50,"Law ratifying Russia-Liechtenstein agreement on simplified visa procedures","2014-12-29","Vladimir Putin signed Federal Law On Ratification of the Agreement between the Government of the Russian Federation and the Government of the Principality of Liechtenstein on Simplified Procedures for Issuing Visas to Citizens of the Russian Federation and Citizens of the Principality of Liechtenstein.","http://eng.kremlin.ru/acts/23454"
"51",51,"Amendments to Russia-Kazakhstan agreement on trade and economic cooperation in oil and oil product supply","2014-12-29","Vladimir Putin signed Federal Law On Ratification of the Protocol Amending the Agreement between the Government of the Russian Federation and the Government of the Republic of Kazakhstan on Trade and Economic Cooperation in Oil and Oil Product Supply to the Republic of Kazakhstan dated December 9, 2010.","http://eng.kremlin.ru/acts/23456"
"52",52,"Order on signing the Treaty on Kyrgyzstan’s Accession to the Eurasian Economic Union Treaty","2014-12-26",NA,"http://eng.kremlin.ru/acts/23446"
"53",53,"Meeting with permanent Security Council members","2014-12-26","Vladimir Putin met with permanent members of the Security Council to discuss current social, economic and international policy issues. The settlement of the Ukrainian crisis was considered in detail, specifically within the context of the latest round of the Minsk negotiations, which took place the day before.","http://eng.kremlin.ru/news/23444"
"54",54,"Meeting with President of Kyrgyzstan Almazbek Atambayev","2014-12-23","Vladimir Putin met with President of Kyrgyzstan Almazbek Atambayev.","http://eng.kremlin.ru/news/23431"
"55",55,"Statement for the press following the Supreme Eurasian Economic Council meeting","2014-12-23",NA,"http://eng.kremlin.ru/news/23428"
"56",56,"Russia-Abkhazia agreement on alliance and strategic partnership submitted to State Duma","2014-12-23","Vladimir Putin submitted to the State Duma for ratification the Agreement between the Russian Federation and the Republic of Abkhazia on Alliance and Strategic Partnership.","http://eng.kremlin.ru/acts/23434"
"57",57,"Law ratifying agreement on Armenia's accession to the Eurasian Economic Union Treaty","2014-12-23","Vladimir Putin signed Federal Law On Ratification of the Agreement on Accession of the Republic of Armenia to the Treaty on the Eurasian Economic Union of May 29, 2014.","http://eng.kremlin.ru/acts/23432"
"58",58,"Meeting with President of Kazakhstan Nursultan Nazarbayev","2014-12-22","Vladimir Putin met with President of the Republic of Kazakhstan Nursultan Nazarbayev.","http://eng.kremlin.ru/news/23423"
"59",59,"Telephone conversation with Angela Merkel, Francois Hollande and Petro Poroshenko","2014-12-22","Vladimir Putin had a telephone conversation with Federal Chancellor of Germany Angela Merkel, President of the French Republic Francois Hollande and President of Ukraine Petro Poroshenko.","http://eng.kremlin.ru/news/23422"
"60",60,"Meeting with Romano Prodi","2014-12-18","Vladimir Putin received former Prime Minister of Italy and ex-Head of the European Commission Romano Prodi, who is in Russia on a private visit.","http://eng.kremlin.ru/news/23408"
"61",61,"Condolences to President of Pakistan Mamnoon Hussain and Prime Minister of Pakistan Nawaz Sharif","2014-12-17","Vladimir Putin sent a message of condolences to President of Pakistan Mamnoon Hussain and Prime Minister of Pakistan Nawaz Sharif following the terrorist attack on a school in Peshawar.","http://eng.kremlin.ru/news/23402"
"62",62,"Telephone conversation with Angela Merkel, Francois Hollande and Petro Poroshenko","2014-12-17","Vladimir Putin had a telephone conversation with Federal Chancellor of Germany Angela Merkel, President of France Francois Hollande and President of Ukraine Petro Poroshenko.","http://eng.kremlin.ru/news/23401"
"63",63,"Congratulations to President of Kazakhstan Nursultan Nazarbayev on Independence Day","2014-12-16","Vladimir Putin sent a message of greetings to President of Kazakhstan Nursultan Nazarbayev in connection with the Republic’s national holiday, Independence Day.","http://eng.kremlin.ru/news/23395"
"64",64,"Telephone conversation with President of Uzbekistan Islam Karimov","2014-12-13","Vladimir Putin had a telephone conversation with President of Uzbekistan Islam Karimov.","http://eng.kremlin.ru/news/23392"
"65",65,"Congratulations to President of Nicaragua Daniel Ortega","2014-12-12","Vladimir Putin congratulated President of Nicaragua Daniel Ortega on the 70th anniversary of the establishment of diplomatic relations between Russia and Nicaragua.","http://eng.kremlin.ru/news/23390"
"66",66,"Meeting with permanent members of the Security Council","2014-12-12","Vladimir Putin met with permanent members of the Security Council to discuss in detail the situation in southeast Ukraine following the recent efforts to settle the conflict.","http://eng.kremlin.ru/news/23387"
"67",67,"Meeting with President of India Pranab Mukherjee","2014-12-11","While on an official visit to India, Vladimir Putin met with President of India Pranab Mukherjee.","http://eng.kremlin.ru/news/23384"
"68",68,"Meeting with President of Indian National Congress Party Sonia Gandhi","2014-12-11","Vladimir Putin met with President of the Indian National Congress Party Sonia Gandhi. Also taking part in the meeting was former Indian Prime Minister Manmohan Singh.","http://eng.kremlin.ru/news/23381"
"69",69,"Meeting with Russian and Indian business representatives","2014-12-11","Vladimir Putin and Prime Minister of India Narendra Modi met with Russian and Indian business representatives.","http://eng.kremlin.ru/news/23382"
"70",70,"Russian-Indian talks","2014-12-11","Vladimir Putin had a meeting with Prime Minister of India Narendra Modi in New Delhi. Later, the talks continued in expanded format.","http://eng.kremlin.ru/news/23378"
"71",71,"Beginning of Russian-Indian talks in expanded group","2014-12-11",NA,"http://eng.kremlin.ru/transcripts/23380"
"72",72,"Vladimir Putin arrived in India on an official visit","2014-12-10","The President of Russia arrived in India on an official visit on Prime Minister of India Narendra Modi’s invitation.","http://eng.kremlin.ru/news/23376"
"73",73,"Russian-Uzbekistani talks","2014-12-10","Vladimir Putin held talks with President of Uzbekistan Islam Karimov while on an official visit to Uzbekistan.","http://eng.kremlin.ru/news/23369"
"74",74,"Press statement following Russian-Uzbekistani talks","2014-12-10",NA,"http://eng.kremlin.ru/transcripts/23373"
"75",75,"Beginning of Russian-Uzbekistani talks in expanded format","2014-12-10",NA,"http://eng.kremlin.ru/transcripts/23371"
"76",76,"Beginning of meeting with President of Uzbekistan Islam Karimov","2014-12-10",NA,"http://eng.kremlin.ru/transcripts/23370"
"77",77,"Interview to the Indian Information Agency PTI","2014-12-09","In the run up to his official visit to India Vladimir Putin gave an interview to the Indian Information Agency PTI.","http://eng.kremlin.ru/news/23365"
"78",78,"Telephone conversation with Federal Chancellor of Austria Werner Faymann","2014-12-09","Vladimir Putin had a telephone conversation with Federal Chancellor of Austria Werner Faymann.","http://eng.kremlin.ru/news/23362"
"79",79,"Meeting with UNESCO Director-General Irina Bokova","2014-12-08","In St Petersburg, Vladimir Putin met with Irina Bokova, Director-General of the United Nations Educational, Scientific and Cultural Organisation (UNESCO).","http://eng.kremlin.ru/news/23363"
"80",80,"Vladimir Putin will make an official visit to Uzbekistan","2014-12-08","On December 10, Vladimir Putin will make an official visit to Uzbekistan on President Islam Karimov’s invitation.","http://eng.kremlin.ru/news/23359"
"81",81,"Telephone conversations with Hungarian Prime Minister Viktor Orban and President of Serbia Tomislav Nikolic","2014-12-07","Vladimir Putin had telephone conversations with Hungarian Prime Minister Viktor Orban and President of Serbia Tomislav Nikolic.","http://eng.kremlin.ru/news/23353"
"82",82,"Answers to journalists' questions","2014-12-06","Vladimir Putin answered journalists’ questions following his meeting with President of France François Hollande.","http://eng.kremlin.ru/news/23352"
"83",83,"Meeting with President of France François Hollande","2014-12-06","Vladimir Putin met with President of France François Hollande. The two presidents met at Moscow’s Vnukovo-2 airport within the framework of President Hollande’s unplanned visit to Russia following his trip to Kazakhstan.","http://eng.kremlin.ru/news/23351"
"84",84,"Telephone conversation with President of Kazakhstan Nursultan Nazarbayev","2014-12-05","Vladimir Putin had a telephone conversation with President of Kazakhstan Nursultan Nazarbayev on the Kazakhstani side’s initiative.","http://eng.kremlin.ru/news/23348"
"85",85,"Presidential Address to the Federal Assembly","2014-12-04","Vladimir Putin delivered the annual Presidential Address to the Federal Assembly. The Address was traditionally delivered at the Kremlin’s St George Hall before an audience of over 1,000 people.","http://eng.kremlin.ru/news/23341"
"86",86,"Law ratifying the agreement on establishing a secret command system for the CSTO’s collective security system’s forces","2014-12-02","Vladimir Putin signed the Federal Law On Ratifying the Agreement on the Basic Principles for Establishing a Secret Command System for the Collective Security Treaty Organisation’s collective security forces.","http://eng.kremlin.ru/news/23337"
"87",87,"Law on ratifying the Russian-Kazakhstani agreement on military-technical cooperation","2014-12-02","Vladimir Putin signed the Federal Law On Ratifying the Agreement between the Russian Federation and the Republic of Kazakhstan on Military-Technical Cooperation.","http://eng.kremlin.ru/news/23336"
"88",88,"Law on ratifying the agreement on Russian-Kyrgyzstani cooperation in the context of Eurasian economic integration","2014-12-02","Vladimir Putin signed the Federal Law On Ratifying the Agreement between the Government of the Russian Federation and the Government of the Republic of Kyrgyzstan on Developing Economic Cooperation in the Context of Eurasian Economic Integration.","http://eng.kremlin.ru/news/23335"
"89",89,"Law on ratifying Russian-Armenian agreement on cooperation in military postal and courier communications","2014-12-02","Vladimir Putin signed the Federal Law On Ratifying the Agreement between the Government of the Russian Federation and the Government of the Republic of Armenia on Cooperation in Military Postal and Courier Communications.","http://eng.kremlin.ru/acts/23329"
"90",90,"Meeting with Prime Minister of Turkey Ahmet Davutoglu","2014-12-01","Vladimir Putin met with Prime Minister of Turkey Ahmet Davutoglu following the High-Level Russian-Turkish Cooperation Council’s meeting.","http://eng.kremlin.ru/news/23324"
"91",91,"News conference following state visit to Turkey","2014-12-01",NA,"http://eng.kremlin.ru/news/23322"
"92",92,"Meeting of High-Level Russian-Turkish Cooperation Council","2014-12-01","Vladimir Putin and President of Turkey Recep Tayyip Erdogan took part in the fifth meeting of the High-Level Russian-Turkish Cooperation Council (HLCC).","http://eng.kremlin.ru/news/23321"
"93",93,"Meeting with President of Turkey Recep Tayyip Erdogan","2014-12-01","Vladimir Putin met with President of Turkey Recep Tayyip Erdogan while on a state visit to Turkey.","http://eng.kremlin.ru/news/23317"
"94",94,"Condolences to President of Nigeria Goodluck Jonathan","2014-11-29","Vladimir Putin sent a telegram to express his condolences to the President of the Federal Republic of Nigeria Goodluck Jonathan in connection with the terrorist act in the city of Kano that resulted in multiple human casualties.","http://eng.kremlin.ru/news/23315"
"95",95,"Greetings to President of Palestine Mahmoud Abbas","2014-11-29","Vladimir Putin sent a message of greeting to the President of Palestine Mahmoud Abbas in connection with the International Day of Solidarity with the Palestinian People.","http://eng.kremlin.ru/news/23313"
"96",96,"Interview to Anadolu Agency","2014-11-28","Ahead of the state visit to the Republic of Turkey, Vladimir Putin gave an interview to Anadolu Agency.","http://eng.kremlin.ru/news/23307"
"97",97,"Meeting with Syrian Foreign Minister Walid Muallem","2014-11-26","Vladimir Putin met at his Sochi residence with Deputy Prime Minister of the Syrian Arab Republic and Minister of Foreign Affairs and Expatriates Walid Muallem.","http://eng.kremlin.ru/news/23301"
"98",98,"Statement for the press after Russian-Vietnamese talks","2014-11-25",NA,"http://eng.kremlin.ru/transcripts/23287"
"99",99,"Meeting with General Secretary of the Vietnamese Communist Party Nguyen Phu Trong","2014-11-25","Vladimir Putin met in Sochi with the General Secretary of the Vietnamese Communist Party Central Committee Nguyen Phu Trong.","http://eng.kremlin.ru/news/23286"
"100",100,"Telephone conversation with President of Iran Kassan Rouhani","2014-11-24","Vladimir Putin had a telephone conversation with President of the Islamic Republic of Iran Kassan Rouhani on the Iranian side’s initiative.","http://eng.kremlin.ru/news/23284"
"101",101,"Vladimir Putin will make working visit to Turkey on December 1","2014-11-24","On December 1, the President of Russia will make a working visit to the Republic of Turkey to participate in the fifth session of the High Level Cooperation Council (HLCC). Vladimir Putin will also have a separate meeting with President of the Republic of Turkey Recep Tayyip Erdogan as part of the visit.","http://eng.kremlin.ru/news/23282"
"102",102,"Presidential executive order on fingerprinting foreign citizens and stateless persons signed","2014-11-24","Vladimir Putin signed the Executive Order On Collecting Biometric Personal Data from Foreign Citizens and Stateless Persons.","http://eng.kremlin.ru/acts/23311"
"103",103,"Press statements following Russian-Abkhazian talks","2014-11-24",NA,"http://eng.kremlin.ru/transcripts/23279"
"104",104,"Meeting with President of Abkhazia Raul Khadzhimba","2014-11-24","Vladimir Putin met in Sochi with President of Abkhazia Raul Khadzhimba. The two presidents discussed the full range of bilateral relations and made a detailed examination of the situation in the region.","http://eng.kremlin.ru/news/23278"
"105",105,"Vladimir Putin will meet with General Secretary of the Vietnamese Communist Party Nguyen Phu Trong in Sochi on November 25","2014-11-24",NA,"http://eng.kremlin.ru/news/23277"
"106",106,"Vladimir Putin will meet with President of Abkhazia Raul Khadzhimba on November 24","2014-11-23","President of Abkhazia Raul Khadzhimba will visit Russia at Vladimir Putin’s invitation on November 24.","http://eng.kremlin.ru/news/23275"
"107",107,"Telephone conversation with President of Kazakhstan Nursultan Nazarbayev","2014-11-21","At Kazakhstan’s initiative, Vladimir Putin had a telephone conversation with President of Kazakhstan Nursultan Nazarbayev.","http://eng.kremlin.ru/news/23273"
"108",108,"Presentation of foreign ambassadors’ letters of credence","2014-11-19","Vladimir Putin received the letters of credence of 15 new foreign ambassadors to Russia in a ceremony at the Grand Kremlin Palace’s Alexander Hall.","http://eng.kremlin.ru/news/23262"
"109",109,"Meeting with German Foreign Minister Frank-Walter Steinmeier","2014-11-18","Vladimir Putin received German Foreign Minister Frank-Walter Steinmeier in the Kremlin.","http://eng.kremlin.ru/news/23261"
"110",110,"Meeting with North Korean leader’s special representative Choe Ryong-hae","2014-11-18","Vladimir Putin welcomed the Special Representative of the Head of the Democratic People’s Republic of Korea, Member of the Politburo of the Workers’ Party of Korea Central Committee Presidium, and Secretary of the Central WPK Committee Choe Ryong-hae. The special representative of the North Korean leader brought a message from the head of North Korea.","http://eng.kremlin.ru/news/23260"
"111",111,"Russian Popular Front’s Action Forum","2014-11-18","Vladimir Putin took part in the plenary session of the Russian Popular Front Action Forum.","http://eng.kremlin.ru/news/23259"
"112",112,"Interview to German TV channel ARD","2014-11-17","Vladimir Putin answered questions from Hubert Seipel of the German TV channel ARD. The interview was recorded on November 13 in Vladivostok.","http://eng.kremlin.ru/news/23253"
"113",113,"Press statement and replies to journalists’ questions following the G20 summit","2014-11-16",NA,"http://eng.kremlin.ru/news/23251"
"114",114,"G20 summit","2014-11-16","The G20 summit in Brisbane has ended.","http://eng.kremlin.ru/news/23250"
"115",115,"Meetings with Federal Chancellor of Germany Angela Merkel and President of the European Commission Jean-Claude Juncker","2014-11-15","At the end of the first day of the G20 Leaders’ Summit, Vladimir Putin had bilateral meetings with Federal Chancellor of Germany Angela Merkel and President of the European Commission Jean-Claude Juncker.","http://eng.kremlin.ru/news/23249"
"116",116,"Excerpts from interview to German TV channel ARD","2014-11-15","Vladimir Putin answered questions from Hubert Seipel of the German TV channel ARD. The interview was recorded on November 13 in Vladivostok.","http://eng.kremlin.ru/news/23248"
"117",117,"Meeting with President of France Francois Hollande","2014-11-15","Vladimir Putin met with the President of the French Republic Francois Hollande on the sidelines of the G20 Leaders’ Summit.","http://eng.kremlin.ru/news/23247"
"118",118,"Meeting with Prime Minister of Great Britain David Cameron","2014-11-15","Vladimir Putin met with Prime Minister of Great Britain David Cameron on the sidelines of the G20 Summit.","http://eng.kremlin.ru/news/23245"
"119",119,"The G20 Leaders’ Summit is underway in Brisbane","2014-11-15","The opening ceremony of the G20 Leaders’ Summit took place in Brisbane, Australia. Vladimir Putin took part in the first working session.","http://eng.kremlin.ru/news/23242"
"120",120,"Meeting with participants in the Labour 20 Summit","2014-11-15","Vladimir Putin had a meeting with participants in the Labour 20 Summit.","http://eng.kremlin.ru/news/23246"
"121",121,"Meeting with Prime Minister of Italy Matteo Renzi","2014-11-15","Vladimir Putin met with Prime Minister of Italy Matteo Renzi in Brisbane, Australia.","http://eng.kremlin.ru/news/23244"
"122",122,"Meeting of BRICS heads of state and government","2014-11-15","Before the start of the G20 Leaders’ Summit, there was a meeting of BRICS heads of state and government.","http://eng.kremlin.ru/news/23243"
"123",123,"Vladimir Putin arrived in Australia to take part in the G20 summit","2014-11-14","The summit’s working sessions will be held on November 15 and 16.","http://eng.kremlin.ru/news/23240"
"124",124,"Interview to TASS News Agency","2014-11-14","Vladimir Putin answered questions from journalists of the Russian News Agency TASS about the upcoming G20 Summit in Brisbane, Australia.","http://eng.kremlin.ru/news/23236"
"125",125,"An agreement between Russia and India on handover of persons sentenced to prison terms has been submitted to the State Duma for ratification","2014-11-14","Vladimir Putin submitted to the State Duma for ratification the Agreement between the Russian Federation and the Republic of India on Handover of Persons Sentenced to Terms of Imprisonment, signed in Moscow on October 21, 2013.","http://eng.kremlin.ru/acts/23237"
"126",126,"APEC Economic Leaders’ Meetings","2014-11-11","Vladimir Putin took part in a working meeting of the Asia-Pacific Economic Cooperation Summit. The discussion focussed on ways to strengthen regional economic integration and other pressing issues.","http://eng.kremlin.ru/news/23220"
"127",127,"Vladimir Putin had brief meetings with a number of foreign leaders","2014-11-11","On the sidelines of the APEC Summit, the President of Russia had brief conversations with President of Vietnam Truong Tan Sang, President of Indonesia Joko Widodo, Prime Minister of Australia Tony Abbot and President of the United States Barack Obama.","http://eng.kremlin.ru/news/23221"
"128",128,"Meeting with IMF Head Christine Lagarde","2014-11-10","Vladimir Putin had a meeting with Managing Director of the International Monetary Fund Christine Lagarde. The discussion addressed options for further cooperation between Russia and the IMF, the situation in the global economy and the actions of the Central Bank to support the Russian national currency.","http://eng.kremlin.ru/news/23219"
"129",129,"First day of APEC summit completed its work","2014-11-10","Vladimir Putin and other participants in the Asia-Pacific Economic Cooperation Forum’s summit attended an official reception hosted by President of China Xi Jinping and his wife Peng Liyuan for the APEC economies’ leaders.","http://eng.kremlin.ru/news/23217"
"130",130,"Meeting with Prime Minister of Malaysia Najib Razak","2014-11-10","Vladimir Putin met with Prime Minister of Malaysia Najib Razak.","http://eng.kremlin.ru/news/23216"
